sku,template,type,shape,colour,size,numLang,rs_colour
S_ACAI-TB_3000MG_120_70G_M,fh-captab,TB,RO,#cfb68c,10,5,
S_ACV-TB_500MG_120_93G_M,fh-captab,TB,OB,#ffffff,12,5,
S_AFR-MAN-TB_1200MG_120_40G_M,fh-captab,TB,RO,#cfb68c,10,5,
S_AZ-MULTI-TB_0_120_160G_M,fh-captab,TB,OB,#826a01,20,5,
S_BETA-C-TB_8MG_120_30G_S,fh-captab,TB,RO,#690120,6,5,
S_BIOT-TB_10000MCG_120_30G_S,fh-captab,TB,RO,#ffffff,6,5,
